Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3455par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3455par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1922876.0	288.4 Mbp	0.0	150.0	52.0	7.0504652000782135	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3455par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3455par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1922876.0	288.4 Mbp	0.0	150.0	52.0	6.523970966125277	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3456par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3456par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	3220595.0	483 Mbp	0.0	150.0	50.0	6.658357818138544	150.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3456par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3456par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	3220595.0	483 Mbp	0.0	150.0	50.0	6.51915537384051	150.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3457par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3457par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4930879.0	739.6 Mbp	0.0	150.0	51.0	6.454899693170109	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3457par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3457par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4930879.0	739.6 Mbp	0.0	150.0	51.0	5.932539172234385	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3458par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3458par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	5900636.0	885 Mbp	0.0	150.0	57.0	4.5399833648359085	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3458par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3458par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	5900636.0	885 Mbp	0.0	150.0	56.0	4.161198222036775	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3459par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3459par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4299938.0	644.9 Mbp	0.0	150.0	51.0	5.7473280533206665	150.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3459par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3459par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4299938.0	644.9 Mbp	0.0	150.0	51.0	5.448473393813896	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3460par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3460par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1225482.0	183.8 Mbp	0.0	150.0	51.0	11.046685129387015	150.0	pass	pass	pass	fail	warn	warn	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3460par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3460par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1225482.0	183.8 Mbp	0.0	150.0	52.0	9.749969522234569	150.0	pass	pass	pass	fail	warn	warn	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3461par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3461par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1580623.0	237 Mbp	0.0	150.0	47.0	13.822614449289755	150.0	pass	warn	pass	fail	fail	fail	pass	fail	warn	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3461par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3461par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1580623.0	237 Mbp	0.0	150.0	47.0	12.247999720057395	150.0	pass	warn	pass	fail	fail	fail	pass	fail	warn	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3462par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3462par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2726357.0	408.9 Mbp	0.0	150.0	53.0	7.0016141653803805	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3462par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3462par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2726357.0	408.9 Mbp	0.0	150.0	53.0	6.674547319510175	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3473par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3473par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	60576.0	9 Mbp	0.0	150.0	47.0	30.304080824088746	150.0	pass	fail	pass	fail	fail	fail	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3473par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3473par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	60576.0	9 Mbp	0.0	150.0	47.0	28.40068674062335	150.0	pass	fail	pass	fail	fail	fail	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3474par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3474par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1799071.0	269.8 Mbp	0.0	150.0	52.0	8.53313514726907	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3474par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3474par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1799071.0	269.8 Mbp	0.0	150.0	52.0	7.963184423790513	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3475par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3475par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4197924.0	629.6 Mbp	0.0	150.0	51.0	6.5649123959288485	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3475par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3475par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4197924.0	629.6 Mbp	0.0	150.0	51.0	5.974921304177223	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3476par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3476par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	5920712.0	888.1 Mbp	0.0	150.0	51.0	5.411125478425843	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3476par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3476par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	5920712.0	888.1 Mbp	0.0	150.0	51.0	4.765745523521547	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3477par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3477par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	270252.0	40.5 Mbp	0.0	150.0	49.0	17.88330891168243	150.0	pass	pass	pass	warn	fail	warn	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3477par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3477par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	270252.0	40.5 Mbp	0.0	150.0	49.0	17.368974142652043	150.0	pass	pass	pass	warn	fail	warn	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3478par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3478par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	3847241.0	577 Mbp	0.0	150.0	50.0	7.766669851697711	150.0	pass	pass	pass	pass	warn	warn	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3478par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3478par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	3847241.0	577 Mbp	0.0	150.0	50.0	7.132053453398569	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3479par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3479par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4629949.0	694.4 Mbp	0.0	150.0	50.0	5.76130010609668	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3479par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3479par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4629949.0	694.4 Mbp	0.0	150.0	50.0	5.360839665063783	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3480par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3480par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1521233.0	228.1 Mbp	0.0	150.0	47.0	9.532032453413422	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3480par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3480par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1521233.0	228.1 Mbp	0.0	150.0	48.0	8.671296128618744	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3514par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3514par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4553348.0	683 Mbp	0.0	150.0	52.0	5.551960456419881	150.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3514par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3514par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4553348.0	683 Mbp	0.0	150.0	52.0	5.159574157425815	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3515par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3515par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1215785.0	182.3 Mbp	0.0	150.0	54.0	7.169688719633817	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3515par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3515par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1215785.0	182.3 Mbp	0.0	150.0	54.0	7.043186089645784	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3516par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3516par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	3982936.0	597.4 Mbp	0.0	150.0	52.0	6.180742373416924	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3516par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3516par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	3982936.0	597.4 Mbp	0.0	150.0	52.0	5.814398439328309	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3517par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3517par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2132595.0	319.8 Mbp	0.0	150.0	54.0	6.135523436872644	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3517par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3517par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2132595.0	319.8 Mbp	0.0	150.0	54.0	5.58263715781923	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3518par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3518par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2694957.0	404.2 Mbp	0.0	150.0	52.0	7.427541169199668	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3518par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3518par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2694957.0	404.2 Mbp	0.0	150.0	52.0	6.627370204207949	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3519par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3519par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4187619.0	628.1 Mbp	0.0	150.0	50.0	6.580376204806301	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3519par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3519par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	4187619.0	628.1 Mbp	0.0	150.0	51.0	6.030731762484464	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3520par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3520par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	3026002.0	453.9 Mbp	0.0	150.0	50.0	7.5247437950057	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3520par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3520par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	3026002.0	453.9 Mbp	0.0	150.0	50.0	6.5302747664228775	150.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3521par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3521par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1999236.0	299.8 Mbp	0.0	150.0	53.0	8.765901114461458	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3521par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3521par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	1999236.0	299.8 Mbp	0.0	150.0	53.0	7.808272025411054	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3522par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3522par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	16137.0	2.4 Mbp	0.0	150.0	51.0	28.75999256367355	150.0	pass	pass	pass	warn	warn	warn	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3522par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3522par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	16137.0	2.4 Mbp	0.0	150.0	52.0	27.210757885604515	150.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3523par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3523par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	780367.0	117 Mbp	0.0	150.0	53.0	7.988548977596438	150.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3523par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3523par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	780367.0	117 Mbp	0.0	150.0	54.0	7.682923547510338	150.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3524par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3524par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2243929.0	336.5 Mbp	0.0	150.0	51.0	7.2481226490921795	150.0	pass	pass	pass	pass	fail	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3524par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3524par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2243929.0	336.5 Mbp	0.0	150.0	51.0	6.679076303005512	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3525par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3525par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	134485.0	20.1 Mbp	0.0	150.0	44.0	24.087444696434545	150.0	pass	fail	pass	fail	fail	fail	pass	fail	warn	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3525par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3525par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	134485.0	20.1 Mbp	0.0	150.0	43.0	21.629921552589508	150.0	pass	fail	pass	fail	fail	fail	pass	fail	warn	fail
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3526par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3526par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2619931.0	392.9 Mbp	0.0	150.0	49.0	7.278918601092036	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3526par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3526par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2619931.0	392.9 Mbp	0.0	150.0	49.0	6.624298171272041	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3578par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3578par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	5046022.0	756.9 Mbp	0.0	150.0	51.0	6.014360017852774	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3578par23_L00_R2_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3578par23_L00_R2_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	5046022.0	756.9 Mbp	0.0	150.0	50.0	5.206520238798681	150.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	warn
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3579par23_L00_R1_fq_gz	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3579par23_L00_R1_fq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	2505392.0	375.8 Mbp	0.0	150.0	51.0	8.320901522798026	150.0	pass	pass	pass	warn	warn	warn	pass	fail	warn	fail
